Serial Number,Date Created,TestingSoftwareVersion,Test Result,status_CL_2,status_CL_25,status_CL_8,status_OL,P_CL_2,P_Avg_CL_25,P_Avg_CL_8,P_Avg_OL,P_StdDev_CL_2,P_StdDev_CL_25,P_StdDev_CL_8,P_StdDev_OL,F_Avg_CL_2,F_Avg_CL_25,F_Avg_CL_8,F_Avg_OL,F_StdDev_CL_2,F_StdDev_CL_25,F_StdDev_CL_8,F_StdDev_OL,D_Avg_CL_2,D_Avg_CL_25,D_Avg_CL_8,D_Avg_OL,D_StdDev_CL_2,D_StdDev_CL_25,D_StdDev_CL_8,D_StdDev_OL
4A000N,1/18/2018 15:00,3.2,Fail,Pass,Pass,Fail,Pass,"29,355.15","29,472.38","29,467.14","30,649.81",51.41062,20.41074,12.62383,9.22297,801.3833,"9,994.29",3189.477,"6,085.34",94.13148,47.32308,59.70792,42.28676,334.98,3416.23,1133.473,2414.557,20.31747,14.86718,15.34885,11.01959
4A0012,1/17/2018 15:15,3.2,Pass,Pass,Pass,Pass,Pass,"29,247.28","29,458.30","29,374.17","30,644.77",56.03282,13.7241,24.09834,9.384711,799.6567,"10,000.89",3199.763,"5,901.46",89.89914,67.68916,58.89961,52.68448,314.2667,3527.837,1139.977,2414.463,19.22256,16.41205,16.91345,11.10863
4A0010,1/17/2018 10:23,3.2,Pass,Pass,Pass,Pass,Pass,"29,238.70","29,475.36","29,379.93","30,631.35",63.13457,21.42258,33.07316,10.82428,798.9367,"10,005.19",3199.59,"6,277.58",106.2678,66.51658,82.8719,40.85463,365.6333,3292.083,1109.747,2405.13,21.0337,14.70772,17.35528,11.20272
4A000Q,1/16/2018 13:08,3.2,Pass,Pass,Pass,Pass,Pass,"29,294.51","29,329.99","29,394.34","30,658.39",51.28096,64.78276,35.55622,10.65247,798.4433,"9,977.79",3202.84,"5,649.54",69.63051,96.27846,67.6096,40.95874,356.7767,3583.443,1207.603,2399.623,14.85982,29.90698,13.69296,12.34041
4A000T,1/16/2018 12:53,3.2,Pass,Pass,Pass,Pass,Pass,"29,382.60","29,279.87","29,469.60","30,657.34",47.6876,27.33188,34.68473,8.341598,802.5133,"9,786.72",3200.187,"5,037.05",65.66296,113.0553,54.25985,36.63658,343.19,"4,042.43",1372.597,2430.64,14.52397,37.21735,13.50097,10.51026
4A000T,1/16/2018 12:33,3.2,Fail,Pass,Fail,Pass,Pass,"29,329.53","29,448.11","29,489.51","30,648.85",54.05692,257.0768,20.42858,9.208737,799.1,"10,022.18",3201.01,"5,000.09",74.70153,873.7984,72.81915,39.75183,342.4133,"4,248.86",1360.343,2430.253,16.56847,527.5501,17.04103,11.20179
4A000P,1/16/2018 12:06,3.2,Pass,Pass,Pass,Pass,Pass,"29,212.53","29,455.04","29,421.07","30,643.26",58.83551,15.20493,20.76833,10.05957,793.26,"9,998.99",3197.347,"5,864.59",85.65619,61.23978,67.57295,50.93717,307.99,3520.39,1127.363,2391.777,15.68226,15.64956,16.45165,11.41779
4A000X,1/16/2018 8:58,3.2,Fail,Pass,Pass,Pass,Fail,"29,346.54","29,253.01","29,431.74","30,365.99",50.27514,73.76427,34.68839,5.123897,802.9467,"9,975.93",3193.627,"4,255.59",106.1135,101.5526,71.24849,38.70471,353.02,3787.787,1284.543,1862.663,20.23604,38.92118,20.45031,10.59894
4A000H,1/12/2018 14:41,3.2,Pass,Pass,Pass,Pass,Pass,"29,375.59","29,492.07","29,491.06","30,646.13",43.85463,13.08899,13.41223,8.742437,795.7033,"10,002.69",3196.333,"6,099.74",61.71023,58.29266,50.46684,45.42681,336.3267,3419.957,1138.653,2398.16,15.48525,14.33325,11.81663,11.24988
4A000Y,1/12/2018 14:22,3.2,Pass,Pass,Pass,Pass,Pass,"29,287.88","29,436.62","29,420.27","30,655.61",59.60429,14.34272,18.06866,10.00125,801.6567,"9,995.53",3196.49,"4,500.29",71.19005,64.35999,62.83658,38.5809,431.1633,"4,645.07",1519.273,2433.25,16.93614,17.40558,15.42784,9.448605
4A000X,1/12/2018 14:09,3.2,Fail,Pass,Pass,Pass,Fail,"29,283.35","29,287.75","29,351.32","30,378.18",57.96816,57.49792,33.46883,4.772188,808.5333,"9,978.95",3198.763,"4,274.58",101.2682,89.98372,64.01281,38.44884,372.34,3758.91,1275.407,1855.823,19.16198,27.99231,15.56363,9.24989
4A000J,1/12/2018 13:35,3.2,Pass,Pass,Pass,Pass,Pass,"29,271.79","29,451.91","29,439.96","30,649.03",53.12876,19.39931,16.55142,8.504351,797.0767,"9,998.59",3199.737,"6,813.69",92.0255,63.95622,51.7081,56.1544,265.36,3051.037,990.5567,2374.487,19.13985,14.81634,15.11727,14.06216
4A0011,1/12/2018 11:16,3.2,Pass,Pass,Pass,Pass,Pass,"29,239.62","29,449.17","29,346.30","30,637.10",57.96468,19.91117,30.4716,9.082183,802.9067,"10,006.94",3200.513,"4,874.91",57.67413,67.00341,74.64321,49.16475,620.4233,3969.213,1481.74,2413.413,16.19364,14.9553,14.70578,8.859529
4A0017,1/12/2018 9:09,3.2,Pass,Pass,Pass,Pass,Pass,"29,342.54","29,292.02","29,426.18","30,658.09",48.38774,61.56762,29.45975,9.364796,804.06,"9,987.24",3200.2,"5,886.21",76.5873,90.37144,58.73977,45.85278,341.78,3453.59,1166.903,2393.733,16.38855,25.90716,15.34031,10.60259
4A0017,1/12/2018 9:09,3.2,Fail,Pass,Pass,Fail,Fail,"29,214.84","29,298.68","29,415.99","30,656.03",69.86778,79.92339,57.37998,9.992163,796.49,"9,975.92",3199.993,"6,021.02",82.37034,88.71187,59.45166,60.12059,317.3,3390.743,1143.513,2404.3,15.90436,33.33127,15.01257,15.31915
4A0017,1/12/2018 9:09,3.2,Fail,Pass,Pass,Pass,Fail,"29,307.32","29,225.95","29,335.19","30,656.03",59.39698,75.36979,42.62946,9.992163,796.1467,"9,987.33",3196.577,"6,021.02",75.13142,105.6057,78.65414,60.12059,306.2933,3373.8,1115.433,2404.3,17.51467,33.95455,17.86678,15.31915
4A0018,1/11/2018 15:26,3.2,Pass,Pass,Pass,Pass,Pass,"29,440.63","29,287.78","29,493.46","30,646.18",35.94939,20.22536,18.70523,9.849338,797.0533,"9,627.59",3198.803,"4,837.35",63.76583,108.7864,51.11773,50.17659,397.7867,"4,014.67",1419.187,2396.18,13.27338,30.64897,14.75272,11.71744
4A000D,1/9/2018 14:49,3.2,Fail,Fail,Fail,Fail,Fail,"29,436.97","29,374.48","29,494.83","30,629.94",44.0088,50.90235,26.63784,11.35695,809.4267,"9,915.81",3194.05,1880.51,60.70416,84.43172,58.03089,45.50711,1010.69,"10,773.17",3697.41,2499.107,18.11181,106.5739,17.68824,13.80213
4A000D,1/9/2018 14:49,3.2,Fail,Fail,Pass,Fail,Pass,"29,358.06","29,336.41","29,398.32","30,635.78",41.09564,21.69492,36.73819,10.37564,809.59,"9,747.24",3197.363,"5,023.58",73.55928,117.9747,68.17357,40.65776,916.3233,3939.66,3166.013,2404.453,21.53231,37.46515,17.75273,10.6009
4A000G,1/9/2018 14:11,3.2,Pass,Pass,Pass,Pass,Pass,"29,394.82","29,336.41","29,485.92","30,635.78",37.20467,21.69492,14.89137,10.37564,802.58,"9,747.24",3202.147,"5,023.58",61.48681,117.9747,63.69334,40.65776,397.9133,3939.66,1369.36,2404.453,13.46919,37.46515,13.71895,10.6009
4A000F,1/9/2018 13:57,3.2,Pass,Pass,Pass,Pass,Pass,"29,341.08","29,461.94","29,462.90","30,620.26",53.68989,15.97369,17.88031,11.02429,801.32,"9,996.83",3197.9,"4,613.40",93.45808,53.21663,66.64354,46.52614,437.6667,"4,376.01",1467.127,2392.217,23.1893,17.14041,16.1795,14.82418
4A0015,1/9/2018 13:43,3.2,Pass,Pass,Pass,Pass,Pass,"29,276.28","29,310.31","29,389.72","30,633.15",75.64633,60.37029,29.13794,9.777379,795.5833,"9,969.67",3199.87,"5,304.09",97.97497,101.9028,70.4363,55.47995,362.9733,3770.717,1274.617,2400.607,19.27449,27.46597,18.05381,12.55768
4A0015,1/9/2018 13:43,3.2,Pass,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A0015,1/9/2018 13:43,3.2,Pass,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A000V,1/9/2018 11:52,3.2,Pass,Pass,Pass,Pass,Pass,"29,446.65","29,527.14","29,494.50","30,631.10",44.93559,12.27925,27.72775,8.95704,799.11,"10,007.08",3201.393,"6,104.52",67.78462,51.71003,56.85702,55.79295,314.0867,3403.417,1122.9,2392.707,17.99759,14.76784,14.01936,11.50541
4A000V,1/9/2018 11:52,3.2,Fail,Pass,Fail,Pass,Pass,"29,327.74","29,588.87","29,458.70","30,634.19",44.59143,363.2687,19.8052,9.310222,804.4867,"10,402.48",3197.457,"5,252.86",75.07277,1346.621,64.07816,46.87704,373.0533,"4,156.05",1291.943,2409.253,16.74781,779.213,15.53711,12.23478
4A0014,1/9/2018 11:12,3.2,Pass,Pass,Pass,Pass,Pass,"29,338.34","29,413.66","29,496.65","30,638.76",49.16918,15.49858,15.34483,9.817491,793.05,"9,797.40",3200.247,"5,289.41",67.00392,76.32763,56.91881,45.80165,369.3267,3780.78,1290.867,2401.303,15.04458,22.75457,13.09721,10.50029
4A000W,1/9/2018 10:57,3.2,Pass,Pass,Pass,Pass,Pass,"29,344.53","29,301.44","29,435.51","30,633.49",50.82008,30.58639,33.78982,9.077842,800.9233,"9,837.01",3198.997,"4,928.10",81.88171,114.9898,62.82493,47.11274,397.5633,3988.847,1379.68,2407.613,18.91056,31.86308,13.14049,10.31979
4A0016,1/9/2018 10:43,3.2,Pass,Pass,Pass,Pass,Pass,"29,360.22","29,348.70","29,439.97","30,637.93",50.96935,54.89424,35.74226,9.152671,797.7867,"9,976.97",3194.837,"5,485.28",95.28294,70.0582,63.67869,38.30553,369.8067,3699.537,1259.327,2400.16,22.70181,20.34288,15.51751,9.07506
3H001N,1/9/2018 10:28,3.2,Pass,Pass,Pass,Pass,Pass,"29,407.64","29,346.81","29,454.61","30,636.69",50.98159,44.33817,24.95543,9.173726,796.7367,"9,909.04",3200.54,"5,197.44",83.55015,85.61854,63.39361,37.02334,382.9433,3859.253,1323.067,2415.67,16.75246,20.09075,15.52395,10.00553
4A000K,1/9/2018 10:15,3.2,Pass,Pass,Pass,Pass,Pass,"29,404.64","29,530.12","29,492.46","30,640.05",48.03247,13.07829,14.57979,9.011421,804.4067,"9,998.26",3200.237,"4,964.51",70.04438,55.39844,63.84668,39.47596,393.2267,"4,132.38",1362.32,2398.443,16.97094,13.6894,16.57526,10.19036
3M002M,1/9/2018 9:56,3.2,Pass,Pass,Pass,Pass,Pass,"29,366.43","29,312.40","29,484.20","30,632.13",64.66591,28.18656,26.53796,9.324495,802.5567,"9,657.76",3199.467,"4,902.49",66.73132,139.1191,61.36396,43.6086,409.9433,3985.19,1409.517,2418.863,18.49521,49.27886,15.18176,8.729126
4A000U,1/9/2018 9:43,3.2,Pass,Pass,Pass,Pass,Pass,"29,333.27","29,328.57","29,457.52","30,633.51",67.75596,53.48571,17.28351,8.773948,791.43,"9,928.11",3203.463,"5,272.19",92.39508,123.9227,70.57956,46.76423,366.1467,3829.75,1285.483,2424.923,20.18968,27.49944,17.57182,12.16478
3H000J,1/2/2018 13:36,3.2,Pass,Pass,Pass,Pass,Pass,"29,310.73","29,487.75","29,432.14","30,646.78",53.62959,7.694196,20.33803,10.64513,801.9467,"9,997.63",3195.093,"5,712.68",95.79999,53.40939,70.82822,37.67244,347.11,3639.357,1194.92,2411.063,19.24815,15.2314,14.50166,11.97594
3M0022,1/2/2018 12:56,3.2,Pass,Pass,Pass,Pass,Pass,"29,209.72","29,359.76","29,427.04","30,642.99",68.56075,43.06204,34.30049,10.31004,792.9233,"9,990.13",3199.333,"6,133.64",80.34388,65.79563,74.92505,49.8619,295.9367,3380.887,1099.063,2407.487,15.88048,22.71715,15.69126,12.34029
3H001J,1/2/2018 9:02,3.2,Pass,Pass,Pass,Pass,Pass,"29,368.51","29,412.48","29,469.13","30,650.64",45.61859,31.16971,25.20468,10.14583,799.18,"10,032.83",3200.07,3807.837,84.49213,124.7841,61.32254,37.74962,524.26,"5,405.59",1783.36,2439.38,21.44336,56.14696,15.15122,11.94113
3H001J,1/2/2018 9:02,3.2,Fail,Fail,Pass,Fail,Pass,"29,356.30","29,439.37","29,465.44","30,646.33",33.39201,58.64684,20.18417,8.77307,806.4767,"10,186.43",3203.2,3582.507,60.10123,456.5863,58.16067,39.54551,1045.527,"5,721.26",3610.39,2424.623,19.66195,241.4909,17.40005,11.78848
3H001J,1/2/2018 9:02,3.2,Fail,Fail,Pass,Fail,Pass,"29,340.01","29,439.37","29,453.07","30,646.33",61.47442,58.64684,15.88944,8.77307,811.9633,"10,186.43",3177.393,3582.507,59.97577,456.5863,54.98132,39.54551,986.6,"5,721.26",3501.207,2424.623,20.19102,241.4909,35.41227,11.78848
3M0039,1/2/2018 6:40,3.2,Pass,Pass,Pass,Pass,Pass,"29,297.14","29,439.37","29,460.07","30,646.33",57.85624,58.64684,20.93689,8.77307,802.7333,"10,186.43",3196.03,3582.507,68.51896,456.5863,66.23416,39.54551,534.3867,"5,721.26",1886.097,2424.623,16.04941,241.4909,16.84675,11.78848
3M002Z,1/2/2018 6:27,3.2,Pass,Pass,Pass,Pass,Pass,"29,395.11","29,350.89","29,490.13","30,645.92",54.93763,52.08846,40.14357,10.19294,798.9,"9,920.41",3200.427,"5,318.17",59.73002,104.3565,60.14069,39.30019,365.5467,3828.627,1301.293,2415.93,18.21795,26.56221,16.8119,10.56987
3M002Z,1/2/2018 6:27,3.2,Fail,Fail,nan,Fail,nan,"29,295.67",0,"29,485.13",0,75.59724,0,16.84928,0,803.2667,0,3204.47,0,80.24762,0,58.83569,0,1047.47,0,3544.163,0,20.99419,0,20.04469,0
3M002Z,1/2/2018 6:27,3.2,Fail,Fail,nan,Fail,nan,"29,298.36",0,"29,395",0,49.13883,0,27.52555,0,800.2133,0,3187.073,0,74.0243,0,57.69427,0,784.45,0,2807.48,0,19.23642,0,21.92605,0
3M002U,12/27/2017 15:37,3.2,Pass,Pass,Pass,Pass,Pass,"29,340.55","29,296.69","29,408.61","30,650.28",51.67654,66.72191,48.90158,9.895048,799.8,"9,991.51",3195.457,"6,185.34",79.91066,80.14255,59.49076,42.36969,298.4,3315.72,1104.57,2396.73,18.17584,21.97708,18.52973,10.76086
3M002U,12/27/2017 15:37,3.2,Fail,Pass,Pass,Pass,Fail,"29,243.61","29,414.66","29,293.40","30,623.57",50.67487,19.92667,37.32198,11.39951,799.7933,"10,003.26",3195.263,"6,082.99",65.09901,81.91573,75.39551,58.47045,286.59,3401.123,1084.23,2384.57,16.49283,18.66534,17.26641,15.57111
3M002U,12/27/2017 15:37,3.2,Fail,Fail,Pass,Pass,Pass,"22,015.27","29,478.13","29,478.90","30,637.64",2.108406,12.86009,12.75125,9.368806,270.6167,"9,995.46",3199.257,"6,144.83",25.92379,55.92962,50.42846,46.99664,"25,523.66",3440.537,1119.493,2420.1,29.90958,13.42843,14.69307,10.50871
3M002U,12/27/2017 15:37,3.2,Fail,Fail,Pass,Pass,Pass,"29,408.75","29,478.13","29,478.90","30,637.64",46.59459,12.86009,12.75125,9.368806,810.3533,"9,995.46",3199.257,"6,144.83",63.23559,55.92962,50.42846,46.99664,1031.077,3440.537,1119.493,2420.1,19.58424,13.42843,14.69307,10.50871
3M002Q,12/27/2017 11:42,3.2,Pass,Pass,Pass,Pass,Pass,"29,406.30","29,478.13","29,478.90","30,637.64",40.58772,12.86009,12.75125,9.368806,799.21,"9,995.46",3199.257,"6,144.83",68.302,55.92962,50.42846,46.99664,313.0367,3440.537,1119.493,2420.1,17.56249,13.42843,14.69307,10.50871
3M002V,12/27/2017 11:28,3.2,Pass,Pass,Pass,Pass,Pass,"29,362.62","29,497.16","29,404.18","30,631.47",43.14657,13.74711,35.32372,9.048565,800.92,"10,004.22",3195.733,"6,227.69",75.48926,66.47611,65.03591,49.2391,285.1633,3388.253,1076.493,2424.013,17.13864,15.56924,16.92326,10.08041
3M0033,12/26/2017 14:16,3.2,Pass,Pass,Pass,Pass,Pass,"29,300.25","29,400.04","29,465.17","30,653.87",55.69952,40.82285,18.35228,9.567176,795.3933,"9,993.44",3206.06,"6,218.82",81.90162,72.79037,74.32525,46.0109,276.8833,3335.443,1080.93,2389.217,18.0263,21.51282,16.97026,10.21798
3M0033,12/26/2017 13:48,3.2,Fail,Pass,Pass,Pass,Fail,"29,226.15","29,175.30","29,327.63","30,648.94",56.29848,78.99251,30.07427,9.360607,802.1533,"9,986.33",3197.977,"6,169.08",62.91193,82.89449,70.64462,77.30468,259.77,3259.703,1043.993,2394.56,15.70464,35.85669,18.54629,11.16843
3M001D,12/19/2017 11:46,3.2,Pass,Pass,Pass,Pass,Pass,"29,341.21","29,449.17","29,490.58","30,640.99",47.66338,25.04095,21.78383,11.10755,797.7633,"9,995.29",3202.37,"5,880.75",77.89733,56.60213,57.06189,45.09748,320.18,3521.053,1163.17,2385.763,17.84511,14.83751,14.1508,11.53537
3M001D,12/19/2017 11:46,3.2,Fail,Pass,Pass,Pass,Fail,"29,217.08","29,441.70","29,325.61","30,608.66",68.02305,21.56937,41.90811,14.76136,796.82,"9,989.31",3196.137,"5,849.85",83.17068,59.53175,59.60884,56.50883,304.51,3509.05,1115.337,2370.733,18.79224,16.95709,15.76094,18.13721
3M0034,12/18/2017 12:16,3.2,Pass,Pass,Pass,Pass,Pass,"29,326.03","29,508.69","29,462.38","30,642.56",49.46538,16.2829,29.40183,9.522054,799.4933,"10,000.97",3197.693,"6,060.06",89.82196,54.65252,57.71962,44.26179,291.2867,3503.167,1112.703,2422.563,18.72538,18.22921,17.90214,9.248538
3M0034,12/14/2017 15:24,3.2,Pass,Pass,Pass,Pass,Pass,"29,292.62","29,433.28","29,418.72","30,643.62",53.0717,15.78967,16.53713,9.593478,800.4033,"10,000.31",3201.123,"5,959.96",92.03594,64.45598,60.6877,44.31071,327.61,3498.303,1127.89,2405.09,16.38277,13.04596,14.80277,9.998045
3M0035,12/14/2017 15:08,3.2,Pass,Pass,Pass,Pass,Pass,"29,289.40","29,301.94","29,375.41","30,647.73",53.79133,206.1128,34.26044,9.852503,809.94,"10,105.48",3195.593,3740.01,76.07009,635.34,60.74932,44.16941,549.3867,"5,405.81",1821.4,2438.047,18.75083,450.1845,13.6081,12.13905
3M002W,12/14/2017 14:43,3.2,Pass,Pass,Pass,Pass,Pass,"29,261.18","29,358.62","29,387.91","30,646.10",54.45387,32.33966,22.72198,9.256275,799.6533,"9,978.53",3197.113,"5,409.39",84.03725,65.32174,71.78489,37.66085,366.2733,3820.153,1263.457,2413.883,14.81466,18.06157,18.65687,10.44649
3M003B,12/14/2017 14:28,3.2,Pass,Pass,Pass,Pass,Pass,"29,378.79","29,334.40","29,465.02","30,652.47",45.45108,56.87151,29.50492,9.762221,796,"9,992.85",3204.577,"5,800.61",66.66233,85.64182,53.16659,47.14174,325.8067,3559.96,1183.91,2401.517,19.68676,24.53808,18.41442,11.08827
3M002H,12/14/2017 13:54,3.2,Pass,Pass,Pass,Pass,Pass,"29,278.13","29,468.02","29,420.88","30,645.22",55.98294,17.28815,34.79893,9.423054,800.59,"9,994.63",3195.617,3794.133,89.0514,56.35047,60.52579,41.27029,580.39,"5,219.13",1772.34,2435.59,20.34839,17.13762,15.82736,11.69891
3M0037,12/14/2017 13:38,3.2,Pass,Pass,Pass,Pass,Pass,"29,287.80","29,301.30","29,405.22","30,635.93",54.24189,73.06228,33.46385,11.36868,808.5733,"9,982.82",3196.1,"5,888.04",65.97419,81.86515,54.8298,47.1947,325.6533,3476.64,1157.253,2388.897,17.07694,29.66368,16.05268,13.73605
3M002F,12/14/2017 13:10,3.2,Pass,Pass,Pass,Pass,Pass,"29,303.51","29,427.57","29,413.39","30,639.77",59.77704,7.227771,18.94684,10.84036,797.0867,"9,918.27",3202.083,"5,241.61",74.34155,52.188,67.58652,45.62578,532.8133,3760.283,1366.7,2416.707,17.81752,14.1682,19.26064,13.94189
3M002F,12/14/2017 13:10,3.2,Fail,Fail,nan,nan,nan,"29,293.84",0,0,0,32.38423,0,0,0,604.38,0,0,0,238.8337,0,0,0,3853.16,0,0,0,89.00179,0,0,0
3M0029,12/14/2017 10:52,3.2,Pass,Pass,Pass,Pass,Pass,"29,368.38","29,340.60","29,426.95","30,652.47",50.3409,52.32009,33.13649,8.908398,798.0233,"9,980.62",3197.717,"5,395.59",71.31684,100.0032,57.32454,47.19271,368.4467,3777.97,1266.927,2409.553,19.15226,23.80075,15.90941,13.04608
3M0029,12/14/2017 10:38,3.2,Pass,Pass,Pass,Pass,Pass,"29,383.66","29,313.89","29,434.10","30,643.29",53.49527,58.53635,31.64454,9.156406,801.7633,"9,977.65",3197.89,"5,465.77",71.2173,76.67395,55.27417,41.05966,365.77,3728.627,1258.53,2419.317,18.67559,25.67571,17.21716,9.829388
3M0029,12/14/2017 10:38,3.2,Fail,Fail,Pass,Pass,Pass,"29,410.39","29,488.68","29,422.75","30,639.21",28.62179,16.97905,27.96694,9.933996,789.8267,"9,999",3195.45,"6,448.65",66.0957,59.24981,76.14322,50.99196,3406.047,3244.82,1021.97,2402.593,17.10874,19.91254,18.21671,10.69233
3M0028,12/14/2017 10:05,3.2,Pass,Pass,Pass,Pass,Pass,"29,264.65","29,488.68","29,422.75","30,639.21",57.05831,16.97905,27.96694,9.933996,790.0167,"9,999",3195.45,"6,448.65",81.56299,59.24981,76.14322,50.99196,275.0433,3244.82,1021.97,2402.593,17.55267,19.91254,18.21671,10.69233
